code,stock_name,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.300933,中辰股份,2023-10-28,2023-09-30,1.992556,1.511310,0.473494,0.069222,0.553568,2.239981
sz.300935,盈建科,2023-10-28,2023-09-30,27.456297,27.425430,23.418143,-0.296079,0.036954,1.038372
sz.300936,中英科技,2023-10-24,2023-09-30,13.264150,12.495745,8.985380,0.067727,0.082115,1.089461
sz.300937,药易购,2023-10-28,2023-09-30,1.732506,1.125262,0.342572,0.160610,0.477388,1.913465
sz.300938,信测标准,2023-10-26,2023-09-30,4.343926,4.052618,2.517618,0.066599,0.174893,1.211963
sz.300939,秋田微,2023-10-27,2023-09-30,6.190848,5.683097,4.348582,-0.295019,0.148963,1.175037
sz.300940,南极光,2023-10-28,2023-09-30,2.071644,1.988178,0.860970,-0.083894,0.399892,1.666365
sz.300941,创识科技,2023-10-27,2023-09-30,19.385999,19.095036,1.199462,0.045944,0.062955,1.067184
sz.300942,易瑞生物,2023-10-27,2023-09-30,6.195670,5.718681,4.886050,1.331900,0.357184,1.555655
sz.300943,春晖智控,2023-10-27,2023-09-30,3.608352,3.199592,2.216563,-0.120789,0.201049,1.251640
sz.300945,曼卡龙,2023-10-25,2023-09-30,20.853854,13.420993,11.865647,0.080201,0.047399,1.049757
sz.300946,恒而达,2023-10-26,2023-09-30,3.155279,1.819813,0.566080,0.500822,0.210955,1.267355
sz.300947,德必集团,2023-10-25,2023-09-30,1.055044,1.055028,0.440528,0.033599,0.780345,4.552587
sz.300948,冠中生态,2023-10-27,2023-09-30,3.147990,3.140158,1.131529,1.212678,0.495719,1.983021
sz.300949,奥雅股份,2023-10-27,2023-09-30,2.576959,2.349207,1.341157,0.763954,0.320876,1.472485
sz.300950,德固特,2023-10-28,2023-09-30,2.176597,1.550962,1.010745,0.284590,0.355864,1.552467
sz.300951,博硕科技,2023-10-26,2023-09-30,2.790405,2.217538,1.141916,1.026740,0.301653,1.431952
sz.300952,恒辉安防,2023-10-24,2023-09-30,1.751911,1.056010,0.424425,1.009306,0.353710,1.547293
sz.300953,震裕科技,2023-10-26,2023-09-30,0.974627,0.811734,0.169428,0.467715,0.750023,4.000371
sz.300955,嘉亨家化,2023-10-25,2023-09-30,1.460101,1.083212,0.311784,0.460912,0.423020,1.733161
sz.300956,英力股份,2023-10-25,2023-09-30,1.345564,0.912566,0.276949,0.069091,0.545091,2.198241
sz.300957,贝泰妮,2023-10-30,2023-09-30,6.568530,5.434934,4.156265,0.066722,0.151792,1.178956
sz.300958,建工修复,2023-10-21,2023-09-30,1.687490,1.679714,0.264366,0.201864,0.563695,2.291973
sz.300959,线上线下,2023-10-25,2023-09-30,7.035649,6.928107,3.596896,-0.115258,0.117197,1.132755
sz.300960,通业科技,2023-10-28,2023-09-30,3.266112,2.583221,1.119884,-0.004313,0.298210,1.424929
sz.300961,深水海纳,2023-10-27,2023-09-30,0.786544,0.779303,0.137385,0.208427,0.626118,2.674642
sz.300962,中金辐照,2023-10-25,2023-09-30,7.804672,7.771155,6.698935,0.192771,0.146842,1.172116
sz.300963,中洲特材,2023-10-23,2023-09-30,2.571408,1.740322,0.228498,0.154194,0.303169,1.435068
sz.300964,本川智能,2023-10-27,2023-09-30,3.120231,2.799226,2.073508,0.044261,0.220160,1.282314
sz.300965,*ST恒宇,2023-10-27,2023-09-30,4.215791,3.847116,1.817909,0.423187,0.155687,1.184394
sz.300966,共同药业,2023-10-25,2023-09-30,1.606806,0.771497,0.262238,0.482520,0.546329,2.204240
sz.300967,晓鸣股份,2023-10-23,2023-09-30,1.363931,0.974606,0.807594,0.494323,0.514926,2.061543
sz.300968,格林精密,2023-10-27,2023-09-30,5.127705,4.545185,3.423615,-0.671339,0.143783,1.167928
sz.300969,恒帅股份,2023-10-27,2023-09-30,3.606027,3.201949,2.134694,0.299081,0.206975,1.260994
sz.300970,华绿生物,2023-10-27,2023-09-30,2.597838,1.904078,1.780783,0.048323,0.236592,1.309915
sz.300971,博亚精工,2023-10-24,2023-09-30,2.780941,2.450831,1.303535,0.105116,0.272520,1.374608
sz.300972,万辰集团,2023-10-24,2023-09-30,0.801459,0.422849,0.162957,6.098912,0.748640,3.978361
sz.300973,立高食品,2023-10-26,2023-09-30,3.527615,3.018522,2.246981,1.653641,0.356316,1.553558
sz.300975,商络电子,2023-10-26,2023-09-30,1.789275,1.357508,0.249495,0.191881,0.593480,2.459903
sz.300976,达瑞电子,2023-10-27,2023-09-30,7.751862,6.977706,5.514086,-0.129551,0.097203,1.107669
sz.300977,深圳瑞捷,2023-10-27,2023-09-30,9.084274,9.081176,6.153398,-0.497429,0.089359,1.098127
sz.300978,东箭科技,2023-10-26,2023-09-30,1.779652,1.519306,0.747116,-0.116950,0.418413,1.719432
sz.300979,华利集团,2023-10-27,2023-09-30,2.928856,2.237403,1.472645,-0.272538,0.239686,1.315247
sz.300980,祥源新材,2023-10-25,2023-09-30,4.885826,4.627585,3.730685,2.458156,0.363454,1.570978
sz.300981,中红医疗,2023-10-25,2023-09-30,5.382334,4.761573,3.407019,1.447575,0.165774,1.198716
sz.300982,苏文电能,2023-10-27,2023-09-30,2.710960,2.559270,1.034467,-0.022704,0.315837,1.461640
sz.300983,尤安设计,2023-10-25,2023-09-30,16.968938,16.968938,12.783049,-0.306736,0.047493,1.049861
sz.300984,金沃股份,2023-10-28,2023-09-30,2.492913,1.617745,0.491919,0.281586,0.450827,1.820920
sz.300985,致远新能,2023-10-25,2023-09-30,1.708695,0.938923,0.315549,2.108267,0.482543,1.932528
sz.300986,志特新材,2023-10-24,2023-09-30,1.117524,0.988148,0.311452,0.425129,0.662380,2.961910
sz.300987,川网传媒,2023-10-28,2023-09-30,7.275595,7.275595,5.857201,0.204036,0.121576,1.138403
sz.300988,津荣天宇,2023-10-27,2023-09-30,1.745274,1.158287,0.547569,0.414359,0.371145,1.590191
sz.300989,蕾奥规划,2023-10-27,2023-09-30,7.971284,7.971264,6.230663,0.306855,0.118806,1.134824
sz.300990,同飞股份,2023-10-25,2023-09-30,3.293800,2.653129,0.812057,1.614757,0.219830,1.281772
sz.300991,创益通,2023-10-26,2023-09-30,1.125064,0.865893,0.295333,0.204833,0.502144,2.008614
sz.300992,泰福泵业,2023-10-26,2023-09-30,2.229051,1.550854,1.182961,2.341035,0.477773,1.914876
sz.300993,玉马科技,2023-10-25,2023-09-30,8.703704,6.875495,5.391187,0.584204,0.069994,1.075262
sz.300994,久祺股份,2023-10-27,2023-09-30,2.493569,2.268980,1.367347,-0.228090,0.331073,1.494931
sz.300995,奇德新材,2023-10-23,2023-09-30,3.426159,2.797894,0.488547,0.365040,0.179510,1.218784
sz.300996,普联软件,2023-10-25,2023-09-30,7.610708,6.108430,3.128162,0.307389,0.129511,1.148780
sz.300997,欢乐家,2023-10-27,2023-09-30,2.027075,1.548239,1.235956,0.171388,0.263656,1.358060
sz.300998,宁波方正,2023-10-28,2023-09-30,2.527895,1.935417,1.240183,0.211483,0.386787,1.630754
sz.300999,金龙鱼,2023-10-27,2023-09-30,1.162507,0.875932,0.675682,0.081969,0.601594,2.509999
sz.301000,肇民科技,2023-10-27,2023-09-30,6.986640,6.078094,3.551506,0.066965,0.126875,1.145312
sz.301001,凯淳股份,2023-10-25,2023-09-30,6.967242,6.042831,4.343871,-0.142697,0.166470,1.199717
sz.301002,崧盛股份,2023-10-27,2023-09-30,2.462661,2.164005,0.564572,0.597323,0.457088,1.841918
sz.301003,江苏博云,2023-10-25,2023-09-30,14.645085,13.570050,11.421350,-0.372920,0.052324,1.055213
sz.301004,嘉益股份,2023-10-27,2023-09-30,2.626281,2.079625,1.395694,0.493945,0.257697,1.347159
sz.301005,超捷股份,2023-10-27,2023-09-30,2.356329,1.690336,0.831079,0.178296,0.250004,1.333340
sz.301006,迈拓股份,2023-10-24,2023-09-30,8.645383,7.847389,5.150047,0.034281,0.103189,1.115063
sz.301007,德迈仕,2023-10-27,2023-09-30,1.384336,1.024980,0.351631,0.117844,0.365499,1.576043
sz.301008,宏昌科技,2023-10-28,2023-09-30,3.352518,3.044926,1.918325,0.867423,0.420689,1.726189
sz.301009,可靠股份,2023-10-26,2023-09-30,2.631136,2.383602,1.829597,-0.076465,0.253891,1.340287
sz.301010,晶雪节能,2023-10-26,2023-09-30,1.519152,0.605927,0.156350,0.312933,0.576014,2.358568
sz.301011,华立科技,2023-10-28,2023-09-30,1.803849,1.185209,0.385426,0.061675,0.418258,1.718974
sz.301012,扬电科技,2023-10-25,2023-09-30,4.546865,3.132198,1.531760,-0.164603,0.179845,1.219282
sz.301013,利和兴,2023-10-27,2023-09-30,2.188815,1.503721,0.320384,0.191867,0.383699,1.622582
sz.301015,百洋医药,2023-10-27,2023-09-30,2.306824,1.974966,0.536043,0.042311,0.529843,2.126948
sz.301016,雷尔伟,2023-10-25,2023-09-30,4.958791,4.408775,3.255022,0.012303,0.166586,1.199884
sz.301017,漱玉平民,2023-10-30,2023-09-30,1.108481,0.653210,0.288895,0.518264,0.728936,3.689167
sz.301018,申菱环境,2023-10-28,2023-09-30,2.262945,1.789630,0.595073,0.197245,0.469933,1.886553
sz.301019,宁波色母,2023-10-25,2023-09-30,16.492421,15.369426,12.177698,0.289747,0.065015,1.069536
sz.301020,密封科技,2023-10-27,2023-09-30,5.309444,4.741257,3.272182,0.229002,0.211190,1.267732
sz.301021,英诺激光,2023-10-28,2023-09-30,7.026752,5.423909,3.782300,0.632801,0.121162,1.137866
sz.301022,海泰科,2023-10-27,2023-09-30,2.655591,1.785392,1.009650,1.047866,0.437095,1.776498
sz.301023,江南奕帆,2023-10-30,2023-09-30,10.485956,10.137773,8.734719,-0.119861,0.080036,1.086999
sz.301024,霍普股份,2023-10-24,2023-09-30,4.207435,4.189425,2.047688,0.638979,0.205488,1.258634
sz.301025,读客文化,2023-10-25,2023-09-30,7.100301,5.317867,2.810790,-0.353860,0.146671,1.171882
sz.301026,浩通科技,2023-10-25,2023-09-30,2.730414,1.018417,0.294619,3.628032,0.285451,1.399485
sz.301027,华蓝集团,2023-10-25,2023-09-30,1.897335,1.897335,0.827307,-0.090287,0.461350,1.856493
