code,stock_name,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.603617,君禾股份,2024-10-30,2024-09-30,0.042942,1.528878,0.385327,1.000060,0.072888,0.798817,1.138277,0.080160
sh.603618,杭电股份,2024-10-23,2024-09-30,0.041052,3.438712,0.635335,0.956561,0.019644,0.881932,0.624196,0.035683
sh.603619,中曼石油,2024-10-31,2024-09-30,0.205916,3.078266,0.305308,0.973923,0.224967,0.777938,0.880433,0.328457
sh.603626,科森科技,2024-10-30,2024-09-30,-0.087888,2.044786,0.481667,1.000000,-0.089235,0.925213,1.135550,-0.084935
sh.603628,清源股份,2024-10-31,2024-09-30,0.076748,2.079142,0.497722,0.990127,0.074904,0.851532,0.875150,0.100513
sh.603629,利通电子,2024-10-31,2024-09-30,0.031919,2.932561,0.307910,0.957757,0.036908,0.888333,0.581185,0.071488
sh.603630,拉芳家化,2024-10-31,2024-09-30,0.027910,1.123568,0.304438,1.005399,0.081158,0.894781,1.248160,0.072668
sh.603633,徕木股份,2024-10-30,2024-09-30,0.036137,1.800362,0.300791,1.000000,0.066731,0.919596,0.746264,0.097239
sh.603636,南威软件,2024-10-31,2024-09-30,-0.062068,2.345268,0.059382,0.953441,-0.467439,0.872026,1.062820,-0.504355
sh.603637,镇海股份,2024-10-25,2024-09-30,0.057700,1.431153,0.235148,1.000000,0.171454,0.866049,1.410977,0.140309
sh.603638,艾迪精密,2024-10-31,2024-09-30,0.083236,1.828443,0.330684,1.000141,0.137643,0.855267,0.924995,0.173985
sh.603639,海利尔,2024-10-29,2024-09-30,0.057412,1.898769,0.496116,1.000000,0.060946,0.864566,0.992238,0.071045
sh.603648,畅联股份,2024-10-25,2024-09-30,0.061238,1.338750,0.517674,0.938339,0.094168,0.844871,0.948329,0.117531
sh.603650,彤程新材,2024-10-25,2024-09-30,0.129798,2.267823,0.316458,0.969050,0.186636,0.969915,0.903144,0.213062
sh.603655,朗博科技,2024-10-30,2024-09-30,0.035639,1.071429,0.283285,1.000000,0.117419,0.867593,1.024137,0.132149
sh.603656,泰禾智能,2024-10-26,2024-09-30,0.015162,1.254310,0.247369,1.049183,0.046575,0.928008,1.360577,0.036887
sh.603657,春光科技,2024-10-30,2024-09-30,0.004947,2.215016,0.703654,1.000000,0.003174,0.414249,1.392563,0.005502
sh.603658,安图生物,2024-10-26,2024-09-30,0.112904,1.354573,0.294640,0.986324,0.286811,0.919524,0.994273,0.313709
sh.603659,璞泰来,2024-10-18,2024-09-30,0.068389,2.390185,0.227327,0.856306,0.146986,0.935587,0.969262,0.162087
sh.603660,苏州科达,2024-10-26,2024-09-30,-0.408690,2.948684,0.287821,1.006835,-0.478283,0.998875,1.103546,-0.433893
sh.603661,恒林股份,2024-10-30,2024-09-30,0.074864,2.885102,0.762034,0.963871,0.035328,0.910487,0.798496,0.048593
sh.603662,柯力传感,2024-10-30,2024-09-30,0.074230,1.592385,0.224676,0.876151,0.236808,0.935762,0.943809,0.268131
