code,stock_name,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.300395,菲利华,2024-10-22,2024-09-30,0.058779,0.185446,0.423622,243594788.370000,0.696312,,519822973.00,511265559.00
sz.300396,迪瑞医疗,2024-10-25,2024-09-30,0.093130,0.163824,0.434094,192566604.720000,0.857662,,272700161.00,272433695.00
sz.300397,天和防务,2024-10-25,2024-09-30,-0.039647,-0.275219,0.286895,-75966529.160000,-0.348876,,517636745.00,396433033.00
sz.300398,飞凯材料,2024-10-29,2024-09-30,0.052677,0.104520,0.357617,226896326.470000,0.204300,,528657987.00,525399264.00
sz.300399,天利科技,2024-10-25,2024-09-30,-0.015203,-0.021349,0.032073,-8076329.080000,0.184514,,197600000.00,197580725.00
sz.300400,劲拓股份,2024-10-26,2024-09-30,0.076646,0.108449,0.348949,60460388.850000,0.252186,,242625800.00,240166375.00
sz.300401,花园生物,2024-10-18,2024-09-30,0.080033,0.257540,0.581697,241467816.640000,0.524203,,543464130.00,534680131.00
sz.300402,宝色股份,2024-10-23,2024-09-30,0.040615,0.044457,0.180494,58265103.750000,0.287199,,243618497.00,243618497.00
sz.300403,汉宇集团,2024-10-28,2024-09-30,0.092376,0.218115,0.338743,178336096.640000,0.405911,,603000000.00,422939514.00
sz.300404,博济医药,2024-10-26,2024-09-30,0.044636,0.081564,0.321872,45361752.110000,0.116676,,382207238.00,275570812.00
sz.300405,科隆股份,2024-10-24,2024-09-30,-0.040926,-0.042944,0.076868,-20127527.600000,-0.340318,,284372671.00,218792849.00
sz.300406,九强生物,2024-10-29,2024-09-30,0.097042,0.300956,0.778099,372402279.000000,0.893555,,588446367.00,422832828.00
sz.300407,凯发电气,2024-10-25,2024-09-30,0.037248,0.042105,0.231642,59849801.070000,0.293130,,318200493.00,244260074.00
sz.300408,三环集团,2024-10-30,2024-09-30,0.085424,0.298045,0.427682,1603712531.480000,1.065575,,1916497371.00,1869808017.00
sz.300409,道氏技术,2024-10-25,2024-09-30,0.024863,0.028480,0.178932,174020517.280000,0.252282,,581677597.00,486892761.00
sz.300410,正业科技,2024-10-25,2024-09-30,-0.298550,-0.268659,0.267884,-137305518.240000,-0.717856,,367114797.00,366917328.00
sz.300411,金盾股份,2024-10-30,2024-09-30,0.021953,0.064151,0.219506,19739407.420000,0.022476,,406520007.00,306400275.00
sz.300412,迦南科技,2024-10-26,2024-09-30,0.014729,0.014645,0.262908,12455160.650000,-0.062709,,497756637.00,472910646.00
sz.300413,芒果超媒,2024-10-26,2024-09-30,0.065561,0.138655,0.291470,1425062966.910000,1.720101,,1870720815.00,1021699958.00
sz.300414,中光防雷,2024-10-25,2024-09-30,0.003958,0.011937,0.231724,3717994.230000,-0.095598,,326019466.00,313539830.00
sz.300415,伊之密,2024-10-29,2024-09-30,0.177749,0.134272,0.341044,493242613.160000,1.265030,,468562084.00,450313389.00
sz.300416,苏试试验,2024-10-25,2024-09-30,0.057135,0.122330,0.440105,171997810.510000,0.472610,,508547806.00,505143444.00
sz.300417,南华仪器,2024-10-29,2024-09-30,0.040296,0.275391,0.396002,18508556.120000,0.141022,,134563200.00,86882863.00
sz.300418,昆仑万维,2024-10-30,2024-09-30,-0.041706,-0.232897,0.769027,-891624168.160000,0.246423,,1231495054.00,1231495054.00
sz.300419,ST浩丰,2024-10-28,2024-09-30,0.013048,0.021645,0.337529,5911702.930000,-0.460974,,367753770.00,367753770.00
sz.300420,五洋自控,2024-10-24,2024-09-30,-0.005067,-0.019089,0.277159,-12967110.000000,-0.007763,,1116383561.00,1116364061.00
sz.300421,力星股份,2024-10-25,2024-09-30,0.040865,0.065298,0.182451,50719039.390000,0.182150,,294030484.00,230344072.00
sz.300422,博世科,2024-10-30,2024-09-30,-0.027363,-0.052658,0.182593,-62657220.630000,-0.369130,,533880389.00,417532154.00
sz.300423,昇辉科技,2024-10-24,2024-09-30,0.011039,0.008109,0.188001,8561835.610000,-2.372026,,497511290.00,332416569.00
