code,stock_name,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.301017,漱玉平民,2024-10-30,2024-09-30,0.571262,0.428738,0.010717,0.795794,0.033843,,0.033843
sz.301018,申菱环境,2024-10-29,2024-09-30,0.678894,0.321106,0.455513,13.611331,0.027787,0.400503,0.027787
sz.301019,宁波色母,2024-10-25,2024-09-30,0.874372,0.125628,0.906075,,0.157122,0.803262,0.157122
sz.301020,密封科技,2024-10-24,2024-09-30,0.932017,0.067983,0.759512,,0.131995,0.783907,0.131995
sz.301021,英诺激光,2024-10-28,2024-09-30,0.694229,0.305771,0.752795,,-0.148052,,-0.148052
sz.301022,海泰科,2024-10-29,2024-09-30,0.687434,0.312566,0.501804,2.648521,0.105140,1.742246,0.105140
sz.301023,江南奕帆,2024-10-26,2024-09-30,0.776132,0.223868,0.877241,,0.141525,0.402449,0.141525
sz.301024,霍普股份,2024-10-30,2024-09-30,0.704794,0.295206,0.525527,-31.754273,-0.546725,,-0.546725
sz.301025,读客文化,2024-10-23,2024-09-30,0.938524,0.061476,0.754352,870.571706,0.336600,6.540199,0.336600
sz.301026,浩通科技,2024-10-24,2024-09-30,0.636035,0.363965,0.488624,12.335740,0.174989,4.211238,0.174989
sz.301027,华蓝集团,2024-10-28,2024-09-30,0.705527,0.294473,0.410675,-6.154242,-0.189498,,-0.189498
sz.301028,东亚机械,2024-10-25,2024-09-30,0.441997,0.558003,0.603245,,0.169585,0.830108,0.169585
sz.301029,怡合达,2024-10-29,2024-09-30,0.700740,0.299260,0.811876,,0.328354,1.857790,0.328354
sz.301030,仕净科技,2024-10-29,2024-09-30,0.665561,0.334439,0.130428,2.702480,-0.167345,-3.751654,-0.167345
sz.301031,中熔电气,2024-10-24,2024-09-30,0.672708,0.327292,0.512301,28.797986,0.085075,0.684810,0.085075
sz.301032,新柴股份,2024-10-28,2024-09-30,0.781319,0.218681,0.396132,,-0.017792,-0.690929,-0.017792
sz.301033,迈普医学,2024-10-29,2024-09-30,0.384006,0.615994,0.752382,,0.331922,1.200261,0.331922
sz.301035,润丰股份,2024-10-28,2024-09-30,0.788856,0.211144,0.366692,1.109473,0.046916,1.147654,0.046916
sz.301036,双乐股份,2024-10-24,2024-09-30,0.359166,0.640834,0.843843,32.710531,0.119608,1.439221,0.119608
sz.301037,保立佳,2024-10-30,2024-09-30,0.576848,0.423152,0.209068,-1.189784,-0.106425,,-0.106425
sz.301038,深水规院,2024-10-26,2024-09-30,0.767133,0.232867,0.383692,,-0.053980,,-0.053980
sz.301039,中集车辆,2024-10-26,2024-09-30,0.699886,0.300114,0.523778,,0.096582,1.781454,0.096582
sz.301040,中环海陆,2024-10-24,2024-09-30,0.563192,0.436808,0.553553,-3.273107,0.066655,,0.066655
sz.301041,金百泽,2024-10-29,2024-09-30,0.667187,0.332813,0.688028,10.125646,0.045059,1.086065,0.045059
sz.301042,安联锐视,2024-10-28,2024-09-30,0.859284,0.140716,0.854038,,0.061780,0.455294,0.061780
sz.301043,绿岛风,2024-10-29,2024-09-30,0.736091,0.263909,0.600237,27.747778,0.130945,0.723991,0.130945
sz.301045,天禄科技,2024-10-30,2024-09-30,0.618591,0.381409,0.699230,,-0.049599,-1.359793,-0.049599
sz.301046,能辉科技,2024-10-28,2024-09-30,0.847129,0.152871,0.427097,6.632029,-0.190691,-3.318225,-0.190691
sz.301047,义翘神州,2024-10-23,2024-09-30,0.692826,0.307174,0.871215,,0.160495,0.751364,0.160495
sz.301048,金鹰重工,2024-10-30,2024-09-30,0.768186,0.231814,0.457091,49.936306,-0.029559,-0.534535,-0.029559
sz.301049,超越科技,2024-10-24,2024-09-30,0.264793,0.735207,0.450910,-3.352968,-0.170929,,-0.170929
sz.301050,雷电微力,2024-10-15,2024-09-30,0.923756,0.076244,0.780411,,-0.171668,-0.538170,-0.171668
sz.301051,信濠光电,2024-10-28,2024-09-30,0.499947,0.500053,0.430056,-13.369630,0.090918,,0.090918
sz.301052,果麦文化,2024-10-24,2024-09-30,0.778076,0.221924,0.737971,,-0.048573,-0.898477,-0.048573
sz.301053,远信工业,2024-10-29,2024-09-30,0.633162,0.366838,0.442626,127.140374,-0.049398,-0.557540,-0.049398
