code(股票代码),stock_name(股票名称),pubDate(发布日期),statDate(统计截止日),roeAvg(平均净资产收益率),npMargin(净利率),gpMargin(毛利率),netProfit(净利润),epsTTM(每股收益(TTM)),MBRevenue(主营业务收入),totalShare(总股本),liqaShare(流通股本)
sh.600178,东安动力,2023-10-28,2023-09-30,0.011786,0.008027,0.083007,30886291.56,0.064893,,475493100.0,462080000.0
sh.600179,安通控股,2023-10-24,2023-09-30,0.04052,0.073392,0.090197,396397928.83,0.251792,,4231526979.0,3662486495.0
sh.600180,瑞茂通,2023-10-27,2023-09-30,0.05155,0.011454,0.017503,404960306.42,0.441632,,1086627464.0,1086627464.0
sh.600182,S佳通,2023-10-28,2023-09-30,0.117988,0.085256,0.197162,261412295.09,0.43119,,340000000.0,170000000.0
sh.600183,生益科技,2023-10-27,2023-09-30,0.066168,0.071908,0.195325,887887734.99,0.524339,,2351670818.0,2351670818.0
sh.600184,光电股份,2023-10-27,2023-09-30,0.017535,0.029232,0.151955,43908409.18,0.125697,,508760826.0,508760826.0
sh.600185,格力地产,2023-10-28,2023-09-30,-0.050652,-0.115572,0.255049,-313776040.56,-1.339209,,1885005795.0,1885005795.0
sh.600186,莲花控股,2023-10-16,2023-09-30,0.065033,0.05999,0.167618,96843503.27,0.051258,,1793901141.0,1793901141.0
sh.600187,国中水务,2023-10-28,2023-09-30,0.021066,0.383345,0.218588,65333404.34,0.055042,,1613781103.0,1613781103.0
sh.600188,兖矿能源,2023-10-28,2023-09-30,0.195938,0.154552,0.331987,20870394000.0,2.300046,,7442040720.0,4499430720.0
sh.600189,泉阳泉,2023-10-27,2023-09-30,0.022515,0.064344,0.343285,60868625.33,0.011587,,715197812.0,715197812.0
sh.600190,ST锦港,2023-10-28,2023-09-30,0.006787,0.019223,0.228296,42406100.29,0.047742,,2002291500.0,1779484530.0
sh.600191,华资实业,2023-10-31,2023-09-30,0.018653,0.065961,0.09207,28149831.77,-0.166791,,484932000.0,484932000.0
sh.600192,长城电工,2023-10-28,2023-09-30,-0.033822,-0.035761,0.155599,-58527104.39,-0.318383,,441748000.0,441748000.0
sh.600193,创兴资源,2023-10-30,2023-09-30,-0.024021,-0.053819,0.094142,-7551512.13,-0.021636,,425373000.0,425373000.0
sh.600195,中牧股份,2023-10-31,2023-09-30,0.073386,0.087384,0.206694,363429409.25,0.535261,,1021148260.0,1021148260.0
sh.600196,复星医药,2023-10-31,2023-09-30,0.050453,0.086443,0.486011,2653809536.67,1.338684,,2672528211.0,2117714711.0
sh.600197,伊力特,2023-10-28,2023-09-30,0.062102,0.142914,0.485027,234843073.86,0.539638,,471968510.0,471968510.0
sh.600198,大唐电信,2023-10-27,2023-09-30,-0.292563,-0.209332,0.409835,-118573312.0,-0.020778,,1313708906.0,880454735.0
sh.600199,金种子酒,2023-10-28,2023-09-30,-0.013794,-0.030748,0.357697,-32994207.03,-0.131222,,657796824.0,657796824.0
sh.600200,江苏吴中,2023-10-31,2023-09-30,0.006036,0.006294,0.283396,9462674.19,-0.025855,,712285832.0,709558129.0
sh.600201,生物股份,2023-10-31,2023-09-30,0.055463,0.234422,0.600784,285758448.43,0.257874,,1120369226.0,1120369226.0
sh.600202,哈空调,2023-10-31,2023-09-30,0.028612,0.022898,0.128065,24267471.28,0.065824,,383340672.0,383340672.0
sh.600203,福日电子,2023-10-27,2023-09-30,-0.058631,-0.016561,0.06552,-127238396.96,-0.709787,,592988082.0,592988082.0
sh.600206,有研新材,2023-10-19,2023-09-30,0.038169,0.016359,0.062468,136103861.33,0.176844,,846553332.0,846553332.0
sh.600207,安彩高科,2023-10-28,2023-09-30,0.011386,0.017277,0.094704,69912022.99,0.009136,,1089312554.0,1050552865.0
sh.600208,衢州发展,2023-10-31,2023-09-30,0.0462,0.517954,0.211732,1928440880.37,0.260269,,8508940800.0,8507769185.0
sh.600210,紫江企业,2023-10-31,2023-09-30,0.081313,0.067114,0.218466,492184473.52,0.409805,,1516736158.0,1516736158.0
sh.600211,西藏药业,2023-10-27,2023-09-30,0.266014,0.364661,0.953372,863520088.44,3.155484,,247937843.0,247937843.0
sh.600212,绿能慧充,2023-10-31,2023-09-30,0.067515,0.046518,0.233948,23814925.76,-0.086933,,665197213.0,511697213.0
sh.600215,派斯林,2023-10-28,2023-09-30,0.065915,0.080726,0.216068,119191237.44,0.48176,,465032880.0,456882880.0
sh.600216,浙江医药,2023-10-26,2023-09-30,0.032103,0.030778,0.335744,180865708.32,0.369392,,964975000.0,961633475.0
sh.600217,中再资环,2023-10-19,2023-09-30,0.021025,0.019683,0.154548,53826361.76,0.038506,,1388659782.0,1388659782.0
sh.600218,全柴动力,2023-10-28,2023-09-30,0.023744,0.018395,0.092545,70655559.95,0.22521,,435599919.0,412658743.0
sh.600219,南山铝业,2023-10-28,2023-09-30,0.046414,0.111507,0.204781,2418532837.4,0.239891,,11708552848.0,11708552848.0
sh.600221,海航控股,2023-10-31,2023-09-30,0.358822,0.017816,0.147078,832704000.0,0.034182,,43215632535.0,32872676656.0
sh.600222,太龙药业,2023-10-27,2023-09-30,-0.011204,-0.013529,0.252926,-19520675.95,-0.056088,,573886283.0,573886283.0
sh.600223,福瑞达,2023-10-28,2023-09-30,0.062055,0.088877,0.470831,301724176.02,0.1276,,1016568775.0,1016568775.0
sh.600225,退市卓朗,2023-10-31,2023-09-30,0.021019,0.053658,0.349618,30630802.85,0.127112,,3411394363.0,3408825415.0
sh.600226,亨通股份,2023-10-28,2023-09-30,0.051115,0.362763,0.220448,159394877.1,0.03281,,3115165266.0,3115165266.0
sh.600227,赤天化,2023-10-28,2023-09-30,-0.092007,-0.149712,0.066896,-249987451.11,-0.230238,,1693134201.0,1278179547.0
sh.600228,返利科技,2023-10-28,2023-09-30,-0.015404,-0.06593,0.604648,-12717081.87,0.012493,,611365028.0,278781629.0
sh.600229,城市传媒,2023-10-31,2023-09-30,0.083585,0.130534,0.321285,254839203.43,0.517476,,671208000.0,671208000.0
sh.600230,沧州大化,2023-10-28,2023-09-30,0.052369,0.056991,0.151451,212049077.51,1.049803,,416144936.0,411863502.0
sh.600231,凌钢股份,2023-10-28,2023-09-30,-0.025072,-0.012961,0.007971,-201179672.4,-0.289527,,2852159344.0,2852159344.0
sh.600232,金鹰股份,2023-10-27,2023-09-30,0.027865,0.034466,0.163706,33406738.54,0.087527,,364718544.0,364718544.0
sh.600233,圆通速递,2023-10-27,2023-09-30,0.096751,0.066102,0.104925,2694261205.77,1.105999,,3442225454.0,3442225454.0
sh.600234,*ST科新,2023-10-28,2023-09-30,-0.034556,-0.277035,0.142008,-20367270.85,-0.148547,,262520973.0,202445880.0
sh.600235,民丰特纸,2023-10-27,2023-09-30,0.019241,0.022985,0.13753,27291202.98,0.075417,,351300000.0,351300000.0
sh.600236,桂冠电力,2023-10-28,2023-09-30,0.06,0.217235,0.357318,1324475742.78,0.143198,,7882377802.0,7882377802.0
sh.600237,铜峰电子,2023-10-21,2023-09-30,0.039021,0.066146,0.233945,52854366.09,0.125436,,621676155.0,564369565.0
sh.600238,海南椰岛,2023-10-28,2023-09-30,-0.194055,-0.43527,0.269601,-70987150.26,-0.381343,,448200000.0,445001580.0
sh.600239,云南城投,2023-10-28,2023-09-30,0.082092,0.105473,0.416435,128913301.98,-0.133607,,1605686909.0,1605686909.0
sh.600241,时代万恒,2023-10-31,2023-09-30,0.040594,0.101771,0.240133,52307907.92,0.111389,,294302115.0,294302115.0
sh.600243,青海华鼎,2023-10-28,2023-09-30,-0.032284,-0.113392,0.080483,-30792515.21,-0.350814,,438850000.0,438850000.0
sh.600246,万通发展,2023-10-28,2023-09-30,-0.028473,-0.476121,0.284051,-172027716.52,-0.117612,,2054009302.0,2054009302.0
sh.600248,陕建股份,2023-10-31,2023-09-30,0.126717,0.028982,0.092764,3605213549.56,0.924485,,3768882286.0,1450663046.0
sh.600249,两面针,2023-10-27,2023-09-30,0.018335,0.059029,0.172451,39838820.35,0.079606,,550000000.0,550000000.0
