code(股票代码),stock_name(股票名称)
sz.000403,派林生物
sz.000404,长虹华意
sz.000429,粤高速A
sz.000498,山东路桥
sz.000503,国新健康
sz.000519,中兵红箭
sz.000523,红棉股份
sz.000524,岭南控股
sz.000528,柳工
sz.000533,顺钠股份
sz.000537,中绿电
sz.000538,云南白药
sz.000541,佛山照明
sz.000544,中原环保
sz.000547,航天发展
sz.000552,甘肃能化
sz.000555,神州信息
sz.000557,西部创业
sz.000563,陕国投A
sz.000567,海德股份
sz.000576,甘化科工
sz.000591,太阳能
sz.000622,*ST恒立
sz.000630,铜陵有色
sz.000633,合金投资
sz.000680,山推股份
sz.000686,东北证券
sz.000690,宝新能源
sz.000705,浙江震元
sz.000707,双环科技
sz.000719,中原传媒
sz.000726,鲁泰A
sz.000728,国元证券
sz.000729,燕京啤酒
sz.000731,四川美丰
sz.000738,航发控制
sz.000739,普洛药业
sz.000766,通化金马
sz.000777,中核科技
sz.000786,北新建材
sz.000801,四川九洲
sz.000810,创维数字
sz.000822,山东海化
sz.000831,中国稀土
sz.000833,粤桂股份
sz.000848,承德露露
sz.000858,五粮液
sz.000859,国风新材
sz.000881,中广核技
sz.000885,城发环境
sz.000886,海南高速
sz.000887,中鼎股份
sz.000892,欢瑞世纪
sz.000899,赣能股份
sz.000901,航天科技
sz.000912,泸天化
sz.000913,钱江摩托
sz.000919,金陵药业
sz.000920,沃顿科技
sz.000923,河钢资源
sz.000925,众合科技
sz.000929,兰州黄河
sz.000931,中关村
sz.000932,华菱钢铁
sz.000935,四川双马
sz.000950,重药控股
sz.000951,中国重汽
sz.000963,华东医药
sz.000973,佛塑科技
sz.000975,山金国际
sz.000987,越秀资本
sz.000988,华工科技
sz.000989,ST九芝
sz.000990,诚志股份
sz.000993,闽东电力
sz.001202,炬申股份
sz.001206,依依股份
sz.001207,联科科技
sz.001208,华菱线缆
sz.001210,金房能源
sz.001219,青岛食品
sz.001222,源飞宠物
sz.001223,欧克科技
sz.001226,拓山重工
sz.001228,永泰运
sz.001230,劲旅环境
sz.001231,农心科技
sz.001234,泰慕士
sz.001238,浙江正特
sz.001255,博菲电气
sz.001256,炜冈科技
sz.001258,立新能源
sz.001259,利仁科技
sz.001260,坤泰股份
sz.001266,宏英智能
sz.001267,汇绿生态
sz.001268,联合精密
sz.001270,铖昌科技
sz.001277,速达股份
sz.001279,强邦新材
sz.001282,三联锻造
sz.001288,运机集团
sz.001298,好上好
sz.001299,美能能源
sz.001300,三柏硕
sz.001308,康冠科技
sz.001314,亿道信息
sz.001316,润贝航科
sz.001317,三羊马
sz.001318,阳光乳业
sz.001319,铭科精技
sz.001323,慕思股份
sz.001326,联域股份
sz.001328,登康口腔
sz.001331,胜通能源
sz.001333,光华股份
sz.001336,楚环科技
sz.001337,四川黄金
sz.001339,智微智能
sz.001356,富岭股份
sz.001359,平安电工
sz.001360,南矿集团
sz.001366,播恩集团
sz.001367,海森药业
sz.001368,通达创智
sz.001380,华纬科技
sz.001389,广合科技
sz.001391,国货航
sz.001696,宗申动力
sz.002003,伟星股份
sz.002006,精工科技
sz.002011,盾安环境
sz.002014,永新股份
sz.002017,东信和平
sz.002025,航天电器
sz.002027,分众传媒
sz.002028,思源电气
sz.002032,苏泊尔
sz.002033,丽江股份
sz.002045,国光电器
sz.002050,三花智控
